period,periodOrder,region,shortName,locationName,latitude,longitude,sampleCount,meanChlorophyllA,meanSuspendedSolids,meanSalinity,meanSecchiDepthM,wetSeasonMeanSS,wetSeasonMeanSalinity,wetSeasonMeanChl,drySeasonMeanSS,drySeasonMeanSalinity,drySeasonMeanChl
2021-2022,1,Wet Tropics region,TUL3,Dunk Island North,-17.9244833,146.1431667,28,0.34,2.12,33.35,5.4,2.01,32.71,0.36,2.28,34.33,0.31
2021-2022,1,Wet Tropics region,TUL4,South Mission Beach,-17.9312833,146.1041667,2,0.89,7.69,16.42,1.88,7.69,16.42,0.89,,,
2021-2022,1,Wet Tropics region,TUL5,Dunk Island South East,-17.96,146.1906167,22,0.32,2.01,33.14,7.77,2.27,32.65,0.34,1.46,34.18,0.28
2021-2022,1,Wet Tropics region,TUL6,Between Tam O'Shanter and Timana,-17.9751,146.1169167,22,0.41,2.66,31.18,4.21,2.71,30.17,0.39,2.56,33.33,0.45
2021-2022,1,Wet Tropics region,TUL7,Hull River mouth,-17.99715,146.0794167,2,0.72,29.67,11.98,0.5,29.67,11.98,0.72,,,
2021-2022,1,Wet Tropics region,TUL8,Bedarra Island,-18.0138333,146.1337667,22,0.4,2.96,31.74,5.25,3.18,31,0.41,2.49,33.31,0.37
2021-2022,1,Wet Tropics region,TUL9,Triplets,-18.0559833,146.1875333,2,0.47,2.23,32.48,3.3,2.23,32.48,0.47,,,
2024-2025,2,Burdekin region,BUR1,Palms West,-18.54215,146.4864833,24,0.4,2.12,32.62,5.97,2.53,31.54,0.45,0.74,35.23,0.28
2024-2025,2,Burdekin region,BUR10,Yongala IMOS NRS,-19.3007167,147.6145833,8,0.32,0.35,34.75,12.31,0.48,34.38,0.42,0.14,35.36,0.15
2024-2025,2,Burdekin region,BUR11,Cape Bowling Green,-19.356,147.4859,3,1.97,3.73,21.23,2.37,3.73,21.23,1.97,,,
2024-2025,2,Burdekin region,BUR12,Plantation Creek,-19.5044,147.6023,3,1.33,11.3,18.8,1.93,11.3,18.8,1.33,,,
2024-2025,2,Burdekin region,BUR13,Burdekin River mooring,-19.5878333,147.5820833,23,0.67,12.4,30.08,1.97,16.24,27.9,0.7,3.63,35.05,0.6
2024-2025,2,Burdekin region,BUR14,Hell Hole Creek,-19.6357,147.6186,1,0.47,210,0.1,0.1,210,0.1,0.47,,,
